original_index,smiles,latent_1,latent_2,latent_3,HBD,HBA,heavy_atoms,MW,has_heteroatoms,has_halogens,has_charges,protonatable_sites,cluster_id,calculation_type,is_cluster_center,distance_to_centroid,dft_representative,distance_to_dft,centroid_latent_1,centroid_latent_2,centroid_latent_3
144518,C=CCNC(=O)/C=C/C(=O)O,-0.9213579968090478,-4.521860940529449,6.793934072049556,2,2,11,155.15299999999996,True,False,False,4,120,DFT,True,0.03824967162543614,81296,0.0,-0.9497942698178428,-4.545423949657019,6.783974134415362
244990,CCCNC(=O)Nc1nc(C)no1,1.8721799918002215,-1.7040505347523942,0.8969513806407764,2,4,13,184.19899999999998,True,False,False,6,121,DFT,True,0.052938059943859084,251122,0.0,1.8204272491247253,-1.6946071831892824,0.9028602661058165
354207,CCN(CCC(=O)O)CC[C@@H](C)O,-0.744689595874789,-4.765210564518957,-1.1411629375121086,2,3,13,189.25499999999997,True,False,False,4,122,DFT,True,0.030804557093189626,278840,0.0,-0.7408732180789019,-4.789323579902487,-1.159949062374364
299238,O=C(NCc1cc[nH]n1)N1CCCC1,0.7070207572867346,2.508620835033181,1.6078113900469315,2,2,14,194.23799999999994,True,False,False,5,123,DFT,True,0.057256123761512456,763891,0.0,0.7374507931614327,2.4646173397394766,1.6282067087940157
459060,O=C1NN(C2CCCCC2)NO1,-2.0408501194834314,4.33992434751095,0.4835227440821405,2,4,12,171.2,True,False,False,5,124,DFT,True,0.1307182634530998,792094,0.0,-2.066796544625692,4.46268391131989,0.5201852169388613
646339,CCOC(=O)C(C)(C)C1(O)CCC1,-1.4479245742105376,-1.23168223912625,2.096503567032278,1,3,13,186.25099999999995,True,False,False,3,125,DFT,True,0.01746642644114508,298987,0.0,-1.4499763419928842,-1.2324038698023538,2.079173086636208
1020425,COc1ccc(/C(C)=C/C(=O)O)cc1,3.7585695698760793,-0.6609655560218475,3.950532190806249,1,2,14,192.214,True,False,False,3,126,DFT,True,0.1046271759028572,501055,0.0,3.854256804928095,-0.6875894962018271,3.9176389575385913
159078,C#CCOCCNC(=O)[C@@H](O)CCC,-1.11938940222622,-6.369591483200924,-1.5645022848888692,2,3,14,199.24999999999997,True,False,False,4,127,DFT,True,0.04847464018567881,17745,0.0,-1.1256797242509449,-6.339101367274988,-1.6016583802270399
262296,Cc1cocc1C(=O)NC/C=C/CO,1.9992680273452952,-1.6199591351938645,2.8328525796378483,2,3,14,195.218,True,False,False,4,128,DFT,True,0.0499806427377648,672595,0.0,2.0054535879018416,-1.6279783617214942,2.7839087802861435
670980,CCC[C@@H](C)NCc1cnnn1C,2.046722617411103,-1.931843093091404,-5.050251766015018,1,4,13,182.271,True,False,False,4,129,DFT,True,0.11071742021377655,259980,0.0,1.9360147266734145,-1.9320994241491618,-5.051681577749061
